nombre,area,perimetro,verde,rojo,naranja,feature
apple,1.0,0.02758751902587519,0.0,0.027016742770167426,0.173896499238965,1
apple,1.0,0.011396843950905903,0.0,0.6364374310020131,0.0008117410221442951,1
apple,1.0,0.027984344422700588,0.0,0.3831702544031311,0.2814090019569472,1
apple,1.0,0.007501158886906685,0.0,0.6423604770399921,0.039697144221719646,1
apple,1.0,0.02548701298701299,0.0,0.5266233766233767,0.39285714285714285,1
apple,1.0,0.026013513513513515,0.0,0.0,0.0,1
apple,1.0,0.0323814380418154,0.0,0.0,0.0,1
apple,1.0,0.025833333333333333,0.0,0.0,0.0,1
apple,1.0,0.025478740668614087,0.0,0.5624797143784486,0.42810775722168126,1
apple,1.0,0.025478740668614087,0.0,0.5662122687439143,0.42810775722168126,1
apple,1.0,0.02150786308973173,0.0,0.0,0.0,1
apple,1.0,0.026856524873828405,0.0,0.41943042537851477,0.2828046142754146,1
apple,1.0,0.022020568663036904,0.0,0.0,0.0,1
apple,1.0,0.019624819624819625,0.0,0.0,0.0,1
apple,1.0,0.01991281949673073,0.0,0.0,0.0,1
apple,1.0,0.03148148148148148,0.0,0.0,0.0,1
apple,1.0,0.026491228070175437,0.0,0.7375438596491228,0.24333333333333335,1
apple,1.0,0.03015873015873016,0.0,0.08639455782312926,0.18140589569160998,1
apple,1.0,0.028381642512077296,0.0,0.12459742351046699,0.2832125603864734,1
apple,1.0,0.0331143951833607,0.0,0.3549534756431308,0.09414340448823208,1
apple,1.0,0.030076888285843508,0.0,0.1546811397557666,0.09294436906377204,1
apple,1.0,0.03337041156840934,0.0,0.13070077864293658,0.008342602892102336,1
apple,1.0,0.03581707707067477,0.0,0.38311480652382474,0.01982731052126639,1
apple,1.0,0.018329427519250083,0.0,0.19183126883160362,0.22012052226314027,1
apple,1.0,0.018447998646018447,0.0,0.766945925361767,0.2894981805872895,1
apple,1.0,0.02097902097902098,0.0,0.7329545454545454,0.3589379370629371,1
apple,1.0,0.018219461697722567,0.0,0.7956935817805383,0.003975155279503106,1
apple,1.0,0.018424611223799865,0.0,0.7794117647058824,0.1140973630831643,1
apple,1.0,0.019053639154776956,0.0,0.7588044067184396,0.45123713202094995,1
apple,1.0,0.020442219440967878,0.0,0.6932624113475178,0.22695035460992907,1
apple,1.0,0.01805465191932336,0.0,0.6964053350683149,0.3769518542615485,1
apple,1.0,0.019230769230769232,0.0,0.544008875739645,0.0777551775147929,1
apple,1.0,0.01790545917555308,0.0,0.6647302244150883,0.18939996816807259,1
apple,1.0,0.0177338355304457,0.0,0.47473320778405526,0.3153640929064658,1
apple,1.0,0.019416573764399852,0.0,0.3364920104050539,0.39009661835748793,1
apple,1.0,0.01892996800568788,0.0,0.604514752932812,0.0,1
apple,1.0,0.018207282913165267,0.0,0.6496951721865216,0.01145163947932114,1
apple,1.0,0.020970575318401404,0.0,0.6389986824769434,0.4956082564778217,1
apple,1.0,0.017542515703998774,0.0,0.7659721158265665,0.06549716561973341,1
apple,1.0,0.01740314769975787,0.0,0.5600786924939467,0.29411319612590797,1
apple,1.0,0.01761025720244072,0.0,0.40943847995674676,0.5082258438248243,1
apple,1.0,0.0176984250740683,0.0,0.3231716825198815,0.22064556369873695,1
apple,1.0,0.018751090179661607,0.0,0.7081807081807082,0.3247863247863248,1
apple,1.0,0.027598020555767034,0.0,0.7542824514655501,0.32280167491435097,1
apple,1.0,0.021315192743764172,0.0,0.0,0.0,1
apple,1.0,0.02325895875591616,0.0,0.0,0.0,1
apple,1.0,0.030858676207513418,0.0,0.0,0.0,1
apple,1.0,0.030858676207513418,0.0,0.0,0.0,1
apple,1.0,0.055625,0.0,0.0,0.0,1
apple,1.0,0.025807525807525808,0.0,0.5992340992340992,0.38844488844488845,1
apple,1.0,0.025974025974025976,0.0,0.6033057851239669,0.393489627255861,1
apple,1.0,0.022474747474747474,0.0,0.0,0.0,1
apple,1.0,0.00760500253018145,0.0,0.6253162726812694,0.04652642232342948,1
apple,1.0,0.008709893545745553,0.0,0.6455557209856324,0.05624209037445098,1
apple,1.0,0.007248266152161444,0.0,0.63367575741774,0.23917974657141367,1
apple,1.0,0.008514492753623188,0.0,0.5337862318840579,0.0672463768115942,1
apple,1.0,0.020202020202020204,0.0,0.7821212121212121,0.0025252525252525255,1
apple,1.0,0.025676937441643323,0.0,0.7180205415499533,0.0,1
apple,1.0,0.004298278211321689,0.0,0.5681902638424378,0.1367810396795904,1
apple,1.0,0.01436335403726708,0.0,0.5943808229813664,0.0012131211180124223,1
